,ID,PDB code,Subset,Complex Type,Resolution,Affinity Data,pKd pKi pIC50,dG,partition,partition_id,casf,Release Year,Protein Name,Ligand Name,Pubmed ID,Pubchem SID,EC number,Reference,UniProt AC,Formula,Molecular Weight,Exact Mass,No. of atoms,No. of bonds,Polar Surface Area,XLOGP3,open banel LogP,HB donor,HB acceptor,Rotatable bonds,Canonical SMILES,AA Bio Assem,notes,030525 Predicted DG,trunc_rad,lig_charge
55,1359,2r9w,refined,Protein-Ligand,1.8,Ki=8uM,5.1,-6.936,"(-8.116, -6.767]",4,TRUE,2008,AmpC beta-Lactamase,23C,18333608,87557350,E.C.3.5.2.6,(2008) J.Med.Chem. Vol. 51: pp. 2502-2511 ,P00811,C22H15NO6,389.358,389.09,44,47,111.98,5.23,2.77,0,6,3,OC(=O)c1ccc2c(c1)C(=O)N(C2=O)[C@@H](C(=O)O)Cc1cccc2c1cccc2,358,,,8,-2
61,1963,3gr2,refined,Protein-Ligand,1.8,Ki=3mM,2.52,-3.4272,"(-4.069, -2.72]",1,TRUE,2009,AmpC beta-lactamase,GF4,19416920,0,E.C.3.5.2.6,(2009) Proc.Natl.Acad.Sci.USA Vol. 106: pp. 7455-7460,P00811,C7H10N6O,194.194,194.092,24,25,87.13,0.16,-0.55,1,4,2,CC[C@@H]1C(=NN(C1=O)c1nnn[nH]1)C,358,,1.33,8,-1
70,1689,3b5r,refined,Protein-Ligand,1.8,Ki=1.7nM,8.77,-11.9272,"(-12.164, -10.815]",7,TRUE,2008,androgen receptor (AR),B5R,18805694,87557513,E.C.-.-.-.-,(2008) Bioorg.Med.Chem.Lett. Vol. 18: pp. 5567-5570 ,P10275,C18H13ClF4N2O3,416.754,416.055,41,42,82.35,3.67,4.21,2,3,7,N#Cc1ccc(cc1C(F)(F)F)NC(=O)[C@](COc1ccc(c(c1)F)Cl)(O)C,247,,-23.22,8,0
91,1158,2iwx,refined,Protein-Ligand,1.5,Kd=0.21uM,6.68,-9.0848,"(-9.466, -8.116]",5,TRUE,2006,ATP-DEPENDENT MOLECULAR CHAPERONE HSP82   ,M1S,17114002,53812732,E.C.-.-.-.-,"Chem. Biol. 2006, 13, 1203-1215.",P02829,C18H21ClO5,352.809,352.108,45,46,83.83,4.48,3.93,2,4,2,O=C1CCCCC/C=C/CCOC(=O)c2c(C1)c(Cl)c(cc2O)O,214,,-14.85,8,0
96,2536,3uo4,refined,Protein-Ligand,2.45,Kd=299nM,6.52,-8.8672,"(-9.466, -8.116]",5,TRUE,2012,Aurora kinase A,0C0,22248356,0,E.C.2.7.11.1,(2012) Acs Chem.Biol. Vol. 7: pp. 698-706,O14965,C23H18N4O2,382.415,382.143,47,50,87.14,6.19,5.48,2,4,5,OC(=O)c1ccc(cc1)Nc1nccc(n1)Nc1ccccc1c1ccccc1,266,,-16.84,8,-1
114,5197,6dpz,refined,Protein-Ligand,1.5,Ki=259uM,3.59,-4.8824,"(-5.418, -4.069]",2,FALSE,2018,Beta-lactamase,H7D,30728502,,E.C.3.5.2.6,(2019) Nature Vol. 566: pp. 224-229,P00811,C13H24N2O4S,304.406,304.146,44,45,95.09,3.55,2.75,1,4,3,OC(=O)[C@@H]1CCCCCC[C@@H]1NS(=O)(=O)N1CCCC1,358,passed 092524,-6.38,8,-1
124,2988,4gid,refined,Protein-Ligand,2,Ki=0.017nM,10.77,-14.6472,"(-14.862, -13.513]",9,TRUE,2012,Beta-secretase 1,0GH,22954357,0,E.C.3.4.23.46,(2012) J.Med.Chem. Vol. 55: pp. 9195&#8722;9207,P56817,C35H48N5O6S,666.851,666.333,95,97,169.9,3.57,4.25,5,6,20,CC(CNC(=O)[C@H]([C@H](O)C)[NH2+]C[C@@H](NC(=O)c1cc(cc(c1)N(S(=O)(=O)C)C)C(=O)N[C@@H](c1ccccc1)C)Cc1ccccc1)C,387,,-13.94,8,1
144,2224,3nq9,refined,Protein-Ligand,1.9,Kd=92.6uM,4.03,-5.4808,"(-6.767, -5.418]",3,TRUE,2010,Bovine beta-lactoglobulin,OCA,21360616,0,E.C.-.-.-.-,(2011) J.Mol.Recognit. Vol. 24: pp. 341-349,P02754,C8H16O2,144.211,144.115,26,25,37.3,4.23,2.43,0,2,5,CCCCCCCC(=O)O,162,,0.78,8,-1
197,2289,3p5o,refined,Protein-Ligand,1.6,Kd=55.2nM,7.26,-9.8736,"(-10.815, -9.466]",6,TRUE,2010,Bromodomain-containing protein 4(Human Brd4),EAM,21068722,0,E.C.-.-.-.-,(2010) Nature Vol. 468: pp. 1119-1123,O60885,C22H22ClN5O2,423.895,423.146,52,55,81.4,2.85,3.48,1,3,6,CCNC(=O)C[C@@H]1N=C(c2ccc(cc2)Cl)c2c(n3c1nnc3C)ccc(c2)OC,127,,-11.58,8,0
224,1230,2oxd,refined,Protein-Ligand,2.3,Ki=0.15uM,6.82,-9.2752,"(-9.466, -8.116]",5,FALSE,2007,Casein kinase II subunit alpha,K32,17768728,53812895,E.C.2.7.11.1,Chembiochem  8: 1804-1809,P28523,C7H2Br4N2O,449.72,445.69,16,17,48.65,3.33,3.91,2,1,0,Brc1c(Br)c(Br)c(c2c1[nH]c(=O)[nH]2)Br,325,passed 092524,-9.42,8,0
